question,answer
What’s the difference between a generative and discriminative model?,A generative model will learn categories of data while a discriminative model will simply learn the distinction between different categories of data. Discriminative models will generally outperform generative models on classification tasks.
Instance-Based Versus Model-Based Learning.,"Instance-based Learning: The system learns the examples by heart, then generalizes to new cases using a similarity measure.

Model-based Learning: Another way to generalize from a set of examples is to build a model of these examples, then use that model to make predictions. This is called model-based learning."
When to use a Label Encoding vs. One Hot Encoding?,"This question generally depends on your dataset and the model which you wish to apply. But still, a few points to note before choosing the right encoding technique for your model:

We apply One-Hot Encoding when:

The categorical feature is not ordinal (like the countries above)
The number of categorical features is less so one-hot encoding can be effectively applied
We apply Label Encoding when:

The categorical feature is ordinal (like Jr. kg, Sr. kg, Primary school, high school)
The number of categories is quite large as one-hot encoding can lead to high memory consumption"
What is the difference between LDA and PCA for dimensionality reduction?,"Both LDA and PCA are linear transformation techniques: LDA is a supervised whereas PCA is unsupervised – PCA ignores class labels.

We can picture PCA as a technique that finds the directions of maximal variance. In contrast to PCA, LDA attempts to find a feature subspace that maximizes class separability."
What is t-SNE?,"t-Distributed Stochastic Neighbor Embedding (t-SNE) is an unsupervised, non-linear technique primarily used for data exploration and visualizing high-dimensional data. In simpler terms, t-SNE gives you a feel or intuition of how the data is arranged in a high-dimensional space."
What is the difference between t-SNE and PCA for dimensionality reduction?,"The first thing to note is that PCA was developed in 1933 while t-SNE was developed in 2008. A lot has changed in the world of data science since 1933 mainly in the realm of compute and size of data. Second, PCA is a linear dimension reduction technique that seeks to maximize variance and preserves large pairwise distances. In other words, things that are different end up far apart. This can lead to poor visualization especially when dealing with non-linear manifold structures. Think of a manifold structure as any geometric shape like: cylinder, ball, curve, etc.

t-SNE differs from PCA by preserving only small pairwise distances or local similarities whereas PCA is concerned with preserving large pairwise distances to maximize variance."
What is UMAP?,UMAP (Uniform Manifold Approximation and Projection) is a novel manifold learning technique for dimension reduction. UMAP is constructed from a theoretical framework based in Riemannian geometry and algebraic topology. The result is a practical scalable algorithm that applies to real world data.
What is the difference between t-SNE and UMAP for dimensionality reduction?,"The biggest difference between the output of UMAP when compared with t-SNE is this balance between local and global structure - UMAP is often better at preserving global structure in the final projection. This means that the inter-cluster relations are potentially more meaningful than in t-SNE. However, it's important to note that, because UMAP and t-SNE both necessarily warp the high-dimensional shape of the data when projecting to lower dimensions, any given axis or distance in lower dimensions still isn’t directly interpretable in the way of techniques such as PCA."
"How Random Number Generator Works, e.g. rand() function in python works?","It generates a pseudo random number based on the seed and there are some famous algorithm, please see below link for further information on this."
"Given that we want to evaluate the performance of 'n' different machine learning models on the same data, why would the following splitting mechanism be incorrect :","def get_splits():
    df = pd.DataFrame(...)
    rnd = np.random.rand(len(df))
    train = df[ rnd < 0.8 ]
    valid = df[ rnd >= 0.8 & rnd < 0.9 ]
    test = df[ rnd >= 0.9 ]

    return train, valid, test

#Model 1

from sklearn.tree import DecisionTreeClassifier
train, valid, test = get_splits()
...

#Model 2

from sklearn.linear_model import LogisticRegression
train, valid, test = get_splits()
...
The rand() function orders the data differently each time it is run, so if we run the splitting mechanism again, the 80% of the rows we get will be different from the ones we got the first time it was run. This presents an issue as we need to compare the performance of our models on the same test set. In order to ensure reproducible and consistent sampling we would have to set the random seed in advance or store the data once it is split. Alternatively, we could simply set the 'random_state' parameter in sklearn's train_test_split() function in order to get the same train, validation and test sets across different executions."
What is the difference between Bayesian vs frequentist statistics?,"Frequentist statistics is a framework that focuses on estimating population parameters using sample statistics, and providing point estimates and confidence intervals.

Bayesian statistics, on the other hand, is a framework that uses prior knowledge and information to update beliefs about a parameter or hypothesis, and provides probability distributions for parameters.

The main difference is that Bayesian statistics incorporates prior knowledge and beliefs into the analysis, while frequentist statistics doesn't."
What is the basic difference between LSTM and Transformers?,"LSTMs (Long Short Term Memory) models consist of RNN cells designed to store and manipulate information across time steps more efficiently. In contrast, Transformer models contain a stack of encoder and decoder layers, each consisting of self attention and feed-forward neural network components."
What are RCNNs?,Recurrent Convolutional model is a model that is specially designed to make predictions using a sequence of images (more commonly also know as video). These models are used in object detection tasks in computer vision. The RCNN approach combines both region proposal techniques and convolutional neural networks (CNNs) to identify and locate objects within an image.
What is the difference between stemming and lemmatization?,"Stemming and lemmatization are both techniques used in natural language processing to reduce words to their base form. The main difference between the two is that stemming is a crude heuristic process that chops off the ends of words, while lemmatization is a more sophisticated process that uses vocabulary and morphological analysis to determine the base form of a word. Lemmatization is more accurate but also more computationally expensive.

Example: The word ""better""

Stemming: The stem of the word ""better"" is likely to be ""better"" (e.g. by using Porter stemmer)
Lemmatization: The base form of the word ""better"" is ""good"" (e.g. by using WordNetLemmatizer with POS tagger)"
What do you know about Latent Semantic Indexing (LSI)?,Latent Semantic Indexing (LSI) is a technique used in NLP and information retrieval to extract the underlying meaning or concepts from a collection of text documents. LSI uses mathematical techniques such as Singular Value Decomposition (SVD) to identify patterns and relationships in the co-occurrence of words within a corpus of text. LSI is based on the idea that words that are used in similar context tend to have similar meanings.
What do you know about Dependency Parsing?,"Dependency parsing is a technique used in natural language processing to analyze the grammatical structure of a sentence, and to identify the relationships between its words. It is used to build a directed graph where words are represented as nodes, and grammatical relationships between words are represented as edges. Each node has one parent and can have multiple children, representing the grammatical relations between the words.

There are different algorithms for dependency parsing, such as the Earley parser, the CYK parser, and the shift-reduce parser."
Name different approaches for text summarization.,"There are several different approaches to text summarization, including:

Extractive summarization: Selects the most important sentences or phrases from the original text.
Abstractive summarization: Generates new sentences that capture the key concepts and themes of the original text.
Latent Semantic Analysis (LSA) based summarization: Uses LSA to identify the key concepts in a text.
Latent Dirichlet Allocation (LDA) based summarization: Uses LDA to identify the topics in a text.
Neural-based summarization: Uses deep neural networks to generate a summary.
Each approach has its own strengths and weaknesses and the choice of the approach will depend on the specific use case and the quality of the summary desired."
What approach would you use for part of speech tagging?,"There are a few different approaches that can be used for part-of-speech (POS) tagging, such as:

Rule-based tagging: using pre-defined rules to tag text
Statistical tagging: using statistical models to tag text
Hybrid tagging: Combining rule-based and statistical methods
Neural-based tagging: using deep neural networks to tag text"
Explain what is a n-gram model.,"An n-gram model is a type of statistical language model used in NLP. It is based on the idea that the probability of a word in a sentence is dependent on the probability of the n-1 preceding words, where n is the number of words in the gram.

The model represents the text as a sequence of n-grams, where each n-gram is a sequence of n words. The model uses the frequency of each n-gram in a large corpus of text to estimate the probability of each word in a sentence, based on the n-1 preceding words."
Explain how TF-IDF measures word importance.,"TF-IDF (Term Frequency-Inverse Document Frequency) is a statistical measure used to evaluate the importance of a word in a document or collection of documents. It is calculated as the product of the term frequency (TF) and the inverse document frequency (IDF) of a word.

The term frequency (TF) of a word is the number of times the word appears in a document, normalized by the total number of words in the document.

The inverse document frequency (IDF) of a word is the logarithm of the total number of documents in the corpus divided by the number of documents in which the word appears."
What is perplexity used for?,"Perplexity is a statistical measure used to evaluate the quality of a probability model, particularly language models. It is used to quantify the uncertainty of a model when predicting the next word in a sequence of words. The lower the perplexity, the better the model is at predicting the sequence of words.

Sure, here's the formula for perplexity in LaTeX format:

Perplexity = 
2
H
(
D
)

H
(
D
)
=
−
∑
i
=
1
N
P
(
w
i
)
l
o
g
2
P
(
w
i
)
 ref

w
i
 = the i-th word in the sequence

N
 = the number of words in the sequence

P
(
w
i
)
 = the probability of the i-th word according to the model"
What is Bag-of-Worrds model?,"The bag-of-words model is a representation of text data where a text is represented as a bag (multiset) of its words, disregarding grammar and word order but keeping track of the frequency of each word. It is simple to implement and computationally efficient, but it discards grammatical information and word order, which can be important for some NLP tasks."
Explain how the Markov assumption affects the bi-gram model?,"The Markov assumption is an important concept in the bi-gram model, it states that the probability of a word in a sentence depends only on the preceding word. The Markov assumption simplifies the bi-gram model by reducing the number of variables that need to be considered, making the model computationally efficient, but it also limits the context that the model takes into account, which can lead to errors in the probability estimates. In practice, increasing the order of the n-gram model can be used to increase the context taken into account, thus increasing the model's accuracy."
What are the most common word embedding methods? explain each briefly.,"Common word embedding methods include:

Count-based methods: Create embeddings by counting the co-occurrence of words in a corpus. Example: Latent Semantic Analysis (LSA)
Prediction-based methods: Create embeddings by training a model to predict a target word based on its surrounding context. Example: Continuous Bag-of-Words (CBOW) and Word2Vec
Hybrid methods: Combine both co-occurrence and context to generate embeddings. Example: GloVe (Global Vectors for Word Representation)
Neural Language Model based methods: Create embeddings by training a neural network-based language model on a large corpus of text. Example: BERT (Bidirectional Encoder Representations from Transformers)"
What are the first few steps that you will take before applying an NLP algorithm to a given corpus?,"Text pre-processing: Clean and transform the text into a format that can be processed by the model. Specific methods include: Removing special characters, lowercasing, removing stop words.

Tokenization: Break the text into individual words or phrases that can be used as input. Specific methods include: word tokenization, sentence tokenization, and n-gram tokenization.

Text normalization: Transform the text into a consistent format. Specific methods include: stemming, lemmatization.

Feature extraction: Select relevant features from the text to be used as input. Specific methods include: creating a vocabulary of the most common words in the corpus, creating a term-document matrix.

Splitting the data: Divide the data into training, validation and testing sets.

Annotating the data: Manually tag the data with relevant information. Specific methods include: POS tagging, NER tagging, and so on."
List a few types of linguistic ambiguities.,"Lexical ambiguity: A word has multiple meanings. Example: ""bass"" can refer to a type of fish or a low-frequency sound.

Syntactic ambiguity: A sentence can be parsed in more than one way. Example: ""I saw the man with the telescope"" can mean that the speaker saw a man who had a telescope or the speaker saw a man through a telescope.

Semantic ambiguity: A word or phrase can have more than one meaning in a given context. Example: ""bank"" can refer to a financial institution or the edge of a river.

Pragmatic ambiguity: A sentence can have different interpretations depending on the speaker's intended meaning. Example: ""I'm fine"" can mean that the speaker is feeling well or that the speaker does not want to talk about their feelings.

Anaphora resolution: A pronoun or noun phrase refers to an antecedent with multiple possible referents.

Homonymy: Words that are written and pronounced the same but have different meanings. Example: ""bass"" as a type of fish and a low-frequency sound

Polysemy: words that have multiple meanings but are related in some way. Example: ""bass"" as a low-frequency sound and the bass guitar."
